"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.64438636422336e-40,1.19788893471258,0.634,0.376,1.19309920791944e-35,"1","NOSIP"
2.89365266234046e-39,0.957146065542031,0.72,0.424,9.47324008597018e-35,"1","CD3E"
2.10029421597401e-38,1.05532731784737,0.604,0.306,6.87594320425571e-34,"1","CD7"
2.39291552664555e-38,1.46060393590631,0.456,0.198,7.8339268511322e-34,"1","PIK3IP1"
1.44540133127201e-26,0.970359745786722,0.412,0.195,4.73195487831832e-22,"1","CD27"
5.22847110489744e-25,1.70644382922721,0.255,0.094,1.71169687032132e-20,"1","CD8B"
4.0408672411575e-24,1.2117289111058,0.383,0.194,1.32289911741014e-19,"1","TCF7"
1.53586200132818e-22,1.76029706050638,0.256,0.102,5.0281050199482e-18,"1","MAL"
2.34069229262025e-22,1.01509112520494,0.412,0.22,7.66295842758019e-18,"1","LEPROTL1"
2.54818486925658e-20,0.995779866915698,0.441,0.254,8.34224762497219e-16,"1","GYPC"
5.26293192877076e-18,1.07975212883343,0.458,0.29,1.72297865484097e-13,"1","NDFIP1"
8.53257096319087e-15,0.942440911335074,0.352,0.199,2.79339308192943e-10,"1","RGCC"
1.11178281699671e-14,1.13061074966809,0.421,0.271,3.63975458628384e-10,"1","C12orf57"
3.74396264658369e-12,1.16705590756737,0.266,0.149,1.22569849123857e-07,"1","FLT3LG"
1.80682399881116e-11,0.958150628145484,0.392,0.266,5.91518040730797e-07,"1","DNAJB1"
0,6.58953054179456,0.975,0.124,0,"2","S100A8"
0,5.54439849904578,0.899,0.064,0,"2","LGALS2"
0,4.05178476114896,0.954,0.152,0,"2","FCN1"
0,6.13748045119302,0.996,0.218,0,"2","S100A9"
4.80001128088757e-295,5.9261228450051,0.671,0.029,1.57142769313697e-290,"2","CD14"
1.61909631487006e-273,5.251944057783,0.686,0.043,5.30059751562159e-269,"2","MS4A6A"
1.20759353237977e-263,4.66339403970978,1,0.518,3.95341970630488e-259,"2","LYZ"
5.60144192713946e-161,3.86817842380848,0.538,0.061,1.83380005810692e-156,"2","CDA"
4.01458933067888e-156,4.34312278408642,0.464,0.04,1.31429625507765e-151,"2","CSF3R"
1.3426062861419e-151,5.70674390183141,0.373,0.016,4.39542445957136e-147,"2","ASGR1"
2.2256808237103e-142,3.79608162629747,0.439,0.04,7.28643388066278e-138,"2","ALDH2"
2.04115946968248e-141,7.30634378262646,0.304,0.004,6.68234787184649e-137,"2","FOLR3"
7.70717164344901e-136,4.05705333452115,0.424,0.04,2.52317385263234e-131,"2","FPR1"
1.88179852863204e-123,6.76362077718997,0.281,0.006,6.16063202303559e-119,"2","S100A12"
2.3407961779866e-123,4.95897944242035,0.312,0.014,7.66329852749254e-119,"2","RBP7"
1.9637082459942e-116,4.69434339265907,0.323,0.02,6.42878805573582e-112,"2","BST1"
1.14596697892191e-110,3.842833280089,0.369,0.037,3.75166669559454e-106,"2","VCAN"
1.7294148676033e-106,4.35992447190971,0.342,0.032,5.66175839355968e-102,"2","PLBD1"
8.88962090855884e-85,3.88808505759659,0.283,0.028,2.91028409304399e-80,"2","CD33"
8.73472291727037e-78,4.19218946679841,0.278,0.031,2.85957358865597e-73,"2","IL8"
0,6.75324380663579,0.933,0.042,0,"3","CD79A"
0,5.69827495177432,0.851,0.054,0,"3","MS4A1"
4.79892615084597e-272,6.79151525979564,0.624,0.022,1.57107244326395e-267,"3","TCL1A"
4.41476249275346e-268,4.5723648147775,0.91,0.143,1.44530494487763e-263,"3","CD79B"
1.6427213103149e-267,3.97798261922926,0.892,0.118,5.37794102570893e-263,"3","HLA-DQA1"
4.50644996068614e-267,7.22483507327519,0.56,0.01,1.47532158812943e-262,"3","LINC00926"
4.27419554015395e-238,7.13968548369808,0.49,0.007,1.3992861359356e-233,"3","VPREB3"
2.5702821634034e-224,4.00982154039718,0.857,0.149,8.41458974655003e-220,"3","HLA-DQB1"
4.36112115384914e-168,6.33262307755235,0.379,0.009,1.42774384334713e-163,"3","FCER2"
6.47030164364905e-162,4.53221265498053,0.487,0.037,2.11824735209783e-157,"3","BANK1"
1.66530424667746e-141,6.13954302453478,0.315,0.007,5.45187304277265e-137,"3","TSPAN13"
2.44291960824316e-135,6.72508872738195,0.297,0.006,7.99763021346647e-131,"3","FCRLA"
2.92789634574268e-116,5.53389936548513,0.277,0.008,9.58534705669237e-112,"3","PKIG"
4.54986228334447e-115,5.48886749528532,0.289,0.011,1.48953391432131e-110,"3","HLA-DOB"
6.6986863702085e-102,4.67837077195689,0.283,0.015,2.19301594387886e-97,"3","BLK"
2.49404338228119e-99,5.5969322099146,0.251,0.01,8.16499922491215e-95,"3","SPIB"
1.89294177603159e-98,4.60079978282518,0.289,0.018,6.19711278637222e-94,"3","GNG7"
1.07684090889148e-95,5.4045700733106,0.262,0.014,3.52536176752892e-91,"3","CD72"
1.1593373220917e-84,4.1300373128644,0.292,0.026,3.79543852506382e-80,"3","CD40"
3.33851633272325e-83,4.7420495182252,0.268,0.021,1.09296347700694e-78,"3","P2RX5"
6.02801796288795e-203,3.32612662298225,0.99,0.234,1.97345252069026e-198,"4","CCL5"
1.4372596769416e-177,2.48429495667781,0.962,0.218,4.70530073037142e-173,"4","NKG7"
3.07669897706767e-173,2.59714866828979,0.819,0.122,1.00724971111241e-168,"4","GZMA"
1.42161787703585e-171,2.65227029953372,0.801,0.123,4.65409260583998e-167,"4","CST7"
1.5273589063265e-167,4.41808867950959,0.585,0.055,5.00026758753169e-163,"4","GZMK"
3.09226836034975e-113,3.4614424968092,0.512,0.07,1.0123468158113e-108,"4","CD8A"
2.10248903208478e-109,2.12416108940562,0.819,0.236,6.88312859323916e-105,"4","CTSW"
3.37857482150843e-108,3.22758665645056,0.495,0.068,1.10607782506543e-103,"4","KLRG1"
1.17836451295644e-88,3.85268198087048,0.422,0.061,3.85772974251678e-84,"4","GZMH"
1.65369866499986e-83,2.19192793748112,0.575,0.134,5.41387868947654e-79,"4","LYAR"
6.04066420088306e-61,1.92328776476848,0.603,0.201,1.9775926460851e-56,"4","GZMM"
1.20544219654666e-45,2.26873879244306,0.387,0.096,3.94637666305445e-41,"4","CD8B"
1.32282897692054e-38,2.173206994165,0.251,0.047,4.33067750464248e-34,"4","TIGIT"
2.60312539594055e-38,1.83985076222282,0.404,0.117,8.52211192123017e-34,"4","HOPX"
7.41931476952816e-36,2.00820676644857,0.331,0.091,2.42893526924813e-31,"4","SAMD3"
1.56306333233861e-27,2.58549224230731,0.265,0.073,5.11715673741014e-23,"4","NCR3"
7.05712179143976e-27,2.06954044772322,0.436,0.19,2.31036053208155e-22,"4","APOBEC3G"
1.41734276018665e-25,1.77755373658532,0.331,0.114,4.64009672829906e-21,"4","C12orf75"
8.69726743976461e-22,1.69906161528065,0.282,0.097,2.84731141443014e-17,"4","CHST12"
2.95065196609517e-15,1.68079970895943,0.289,0.126,9.65984440660237e-11,"4","ZAP70"
4.62081325239802e-223,5.46212484644348,0.512,0.008,1.51276184257006e-218,"5","CDKN1C"
3.68019062400475e-209,4.07359166459142,0.849,0.066,1.20482080648667e-204,"5","RP11-290F20.3"
1.95839283062759e-206,4.97540684656891,0.578,0.019,6.41138644890862e-202,"5","HES4"
2.68419926090805e-189,4.0406563356553,0.982,0.133,8.78753154036077e-185,"5","FCGR3A"
1.37670049314815e-186,4.36031495423411,0.801,0.072,4.50704207446841e-182,"5","MS4A7"
1.9271357321533e-163,5.84418948961265,0.361,0.005,6.30905695992347e-159,"5","CKB"
3.7834132174622e-138,3.96093741914286,0.518,0.031,1.23861381913277e-133,"5","LILRA3"
3.7075166594269e-136,5.12248190037161,0.373,0.011,1.21376680396318e-131,"5","MS4A4A"
2.69527819856886e-133,3.43736432206033,0.711,0.078,8.82380176647475e-129,"5","PILRA"
2.00403129853292e-132,3.48491693968964,0.663,0.066,6.56079766513708e-128,"5","LRRC25"
3.80207862039893e-129,4.0938745473591,0.53,0.038,1.2447244987462e-124,"5","HMOX1"
5.87680363539271e-128,3.62733351984748,0.5,0.032,1.92394797415486e-123,"5","LILRB1"
3.68259967192429e-123,3.73119488790832,0.464,0.028,1.20560948059458e-118,"5","CTSL"
8.29895310052611e-123,3.90245157971822,0.476,0.03,2.71691126605024e-118,"5","SIGLEC10"
6.41996996869694e-116,3.61820804930065,0.518,0.042,2.101769768352e-111,"5","CSF1R"
1.74975615158113e-99,3.72542205458976,0.404,0.028,5.72835168904631e-95,"5","CXCL16"
1.77881334108643e-96,4.619733279089,0.283,0.01,5.82347911604876e-92,"5","BATF3"
2.46189035370698e-92,3.82359044440913,0.361,0.023,8.0597366399659e-88,"5","TPPP3"
2.64808382749828e-84,4.43505044289443,0.289,0.015,8.66929683446386e-80,"5","CTD-2006K23.1"
2.58072260840616e-70,3.6396531351974,0.271,0.017,8.44876967540008e-66,"5","TCF7L2"
2.20155567957424e-266,5.96108322828586,0.949,0.068,7.20745298379015e-262,"6","GZMB"
1.45736123148105e-223,5.27462827853965,0.848,0.063,4.77110919962267e-219,"6","FGFBP2"
8.34570500048573e-206,5.53293054658803,0.703,0.04,2.73221690305902e-201,"6","SPON2"
3.69021326660961e-203,5.05894909105295,0.937,0.106,1.20810201922266e-198,"6","PRF1"
3.6602978055326e-190,6.11582691832757,0.949,0.131,1.19830829557526e-185,"6","GNLY"
1.43721815590107e-180,5.53681555549932,0.538,0.021,4.70516479878892e-176,"6","XCL2"
5.79835537920528e-175,6.16854462319421,0.462,0.013,1.89826558404423e-170,"6","AKR1C3"
9.55884434928667e-167,4.90498857737758,0.557,0.028,3.12937446306947e-162,"6","KLRD1"
1.31583302656039e-165,5.28841293708576,0.557,0.029,4.3077741623534e-161,"6","CLIC3"
1.96070852433251e-135,4.8339660869521,0.696,0.077,6.41896756695978e-131,"6","CCL4"
3.98980422858143e-133,5.02777038138725,0.449,0.023,1.30618210835299e-128,"6","TTC38"
5.36819776459559e-133,5.56581827013553,0.367,0.011,1.7574405841733e-128,"6","XCL1"
5.98599312248881e-116,4.81250791021167,0.373,0.017,1.95969442844039e-111,"6","PRSS23"
6.71058891688894e-115,6.163144372319,0.291,0.007,2.1969125996111e-110,"6","SH2D1B"
9.14351117465005e-104,5.14191771239015,0.532,0.058,2.99340268835693e-99,"6","IGFBP7"
5.99087530165196e-96,5.37407635606876,0.266,0.008,1.96129275625482e-91,"6","KLRF1"
5.81773895971859e-87,4.44222164809451,0.316,0.018,1.90461138063267e-82,"6","GPR56"
6.99356098737728e-83,4.49129640150059,0.297,0.016,2.28955199604757e-78,"6","C1orf21"
1.76944664129258e-62,4.71889313474463,0.31,0.029,5.79281441426366e-58,"6","HAVCR2"
3.31572155236176e-60,4.35889494792423,0.31,0.03,1.08550092181219e-55,"6","PTGDR"
2.10195779091774e-246,7.93903806185508,0.871,0.011,6.88138941590648e-242,"7","FCER1A"
8.19868124474815e-171,6.41569641879115,0.774,0.015,2.68408426590565e-166,"7","CLEC10A"
1.23591726923649e-140,5.63831645450782,0.419,0.003,4.04614595602641e-136,"7","SERPINF1"
2.77643260405136e-138,6.15309261029952,0.452,0.005,9.08948505914336e-134,"7","ENHO"
9.90891085994627e-107,6.66319739351349,0.29,0.002,3.24397923732921e-102,"7","CLIC2"
3.81928046231958e-83,4.80841875139225,0.581,0.02,1.25035603775418e-78,"7","CD1C"
3.68899826969676e-54,3.40590723792676,0.484,0.021,1.20770425353332e-49,"7","HLA-DQB2"
9.04655861282064e-53,3.96525698211867,0.387,0.014,2.96166235866522e-48,"7","CACNA2D3"
9.36534430079403e-42,3.29940013562399,0.903,0.115,3.06602641719395e-37,"7","HLA-DQA2"
2.62990762781834e-38,3.47543932994217,0.387,0.02,8.60979159195169e-34,"7","BASP1"
1.46028172580643e-37,3.73728280640896,0.355,0.017,4.7806703139451e-33,"7","NDRG2"
5.61527877706594e-37,4.1097765856218,0.258,0.009,1.83832996603585e-32,"7","PON2"
6.33591371439775e-35,4.27054648048905,0.258,0.01,2.07425143181953e-30,"7","UPK3A"
1.80920739015702e-33,3.22975315044485,1,0.209,5.92298315389605e-29,"7","HLA-DQA1"
6.8470622819162e-30,3.89623334001985,0.258,0.012,2.24159124985373e-25,"7","LGMN"
5.46933473652616e-29,3.20505468075651,0.419,0.033,1.79055080604393e-24,"7","SULF2"
1.38125840186386e-25,3.36688243148315,0.323,0.022,4.52196375602192e-21,"7","LMO2"
2.76032747039607e-24,4.04429325811178,0.258,0.015,9.03676007258264e-20,"7","P2RY13"
1.54325037796367e-20,3.50806970135536,0.645,0.105,5.05229308737747e-16,"7","ALDH2"
8.67768071452449e-20,3.21339157999645,0.484,0.06,2.84089911232103e-15,"7","CD302"
0,12.8008311909449,0.929,0.001,0,"8","GP9"
0,12.4009018664164,0.857,0.001,0,"8","AP001189.4"
0,12.0662312492529,0.857,0.001,0,"8","ITGA2B"
0,11.626233806163,0.786,0.001,0,"8","TMEM40"
0,14.2449927260955,0.571,0,0,"8","LY6G6F"
7.11931021425978e-278,11.0415450730981,0.643,0.001,2.33071977794437e-273,"8","SEPT5"
7.47527249737955e-250,11.3979145946224,0.786,0.003,2.44725471019212e-245,"8","PTCRA"
1.83782133323351e-242,10.842937269466,0.714,0.003,6.01665948073987e-238,"8","TREML1"
7.2433552525061e-212,13.1418495690838,0.429,0,2.37132964256545e-207,"8","CLDN5"
8.18956982794654e-212,11.0368436769866,0.429,0,2.68110137027314e-207,"8","HGD"
4.35958539953897e-206,13.8077199376849,0.357,0,1.42724106810107e-201,"8","RP11-879F14.2"
6.79715471136076e-202,11.1076479322958,0.5,0.001,2.22525250940528e-197,"8","C2orf88"
7.73117953869045e-200,11.4613160627023,1,0.01,2.53103355737648e-195,"8","PF4"
1.55575260139913e-185,11.2405983712489,0.929,0.01,5.09322286646047e-181,"8","GNG11"
7.28103586680933e-172,10.9891457809928,0.357,0,2.38366552207604e-167,"8","ITGB3"
2.82806755201064e-168,10.4611933615057,0.929,0.011,9.25852755177243e-164,"8","SDPR"
2.50568199563016e-132,10.8659474116123,0.286,0,8.20310171729401e-128,"8","SCN1B"
2.50568199563016e-132,10.5780641965963,0.286,0,8.20310171729401e-128,"8","PVALB"
1.77238556345227e-110,10.5212798996345,0.286,0.001,5.80243585763005e-106,"8","PDZK1IP1"
3.68454824792992e-110,11.4099048353398,1,0.024,1.2062474054073e-105,"8","PPBP"
